check,logic,IN,TD,,T,#N/A,BROKER,Ticker,EXPECTED_REPORT_DT,NAME,CLASSIFICATION_DESCRIPTION,BICS_LEVEL_3_INDUSTRY_NAME,VOLUME_AVG_6M,LAST_PRICE,HIGH,거래금액,VOLUME,volume-multiple,RT_PX_CHG_PCT_1D,CHG_PCT_5D,H,VOLATILITY_30D,PX_YEST_HIGH,PX_YEST_LOW,Qty,평가금액,CRNCY,Side,FX,TT,LOCAL1,LOCAL2,cost,RETURN,BROKER,Instruction_1,Account,Instruction,Account_1,,
,,1 ,1529.5,1596,1530 ,-3.7%,IN,7261 JP Equity,2023-11-10,MAZDA MOTOR CORP,Automobiles,Automotive,"4,834,072 ",1588.50 ,-1 ,694 ,"3,006,200 ",0.6 ,-0.47 ,5.79 ,-1.61 ,1.9 ,"1,597.00 ","1,551.00 ","16,000 ","229,559,854 ",JPY,SELL,9.0 ,1529.5,1596,1529.5,"1,430.00 ",11.1%,IN,VOL_10%,NHMS02 (MS_VJP),VOL_10%,,,
,,1 ,4720,4834,4720 ,-2.1%,IN,7267 JP Equity,2023-11-09,HONDA MOTOR CO LTD,Automobiles,Automotive,"5,053,037 ",4821.00 ,-1 ,"2,200 ","2,799,500 ",0.6 ,-0.27 ,4.53 ,-0.35 ,1.9 ,"4,834.00 ","4,754.00 ","5,000 ","217,718,771 ",JPY,SELL,9.0 ,4720,4834,4720,"4,546.00 ",6.0%,IN,VOL_10%,NHMS02 (MS_VJP),VOL_10%,,,
,,,#N/A,#N/A,2084 ,-0.5%,IN,9503 JP Equity,2023-10-31,KANSAI ELECTRIC POWER CO INC,Integrated Electric Utilities,Electric Utilities,"2,947,984 ",2094.50 ,#N/A,560 ,"1,511,200 ",0.5 ,-0.19 ,2.53 ,-0.64 ,1.9 ,"2,119.50 ","2,087.50 ","11,000 ","208,095,068 ",JPY,SELL,9.0 ,#N/A,#N/A,#N/A,"1,958.50 ",6.9%,IN,VOL_10%,NHMS02 (MS_VJP),VOL_10%,,,
,,,#N/A,#N/A,8061 ,0.1%,IN,9020 JP Equity,2023-10-31,EAST JAPAN RAILWAY CO,Passenger Rail,Transportation & Logistics,"1,346,550 ",8053.00 ,#N/A,"1,001 ","358,600 ",0.3 ,0.15 ,1.33 ,-0.78 ,0.9 ,"8,276.00 ","8,193.00 ","2,800 ","203,659,404 ",JPY,SELL,9.0 ,#N/A,#N/A,#N/A,"8,101.00 ",-0.6%,IN,VOL_10%,NHMS02 (MS_VJP),VOL_10%,,,
,,1 ,9534,9919,9534 ,-4.5%,IN,6501 JP Equity,2023-10-27,HITACHI LTD,Diversified Industrials,Diversified Industrials,"2,598,375 ",9986.00 ,1 ,"2,344 ","1,101,800 ",0.4 ,-0.59 ,5.70 ,-0.78 ,1.9 ,"10,045.00 ","9,866.00 ","2,500 ","225,486,377 ",JPY,SELL,9.0 ,9534,9919,9534,"9,373.00 ",6.5%,IN,VOL_10%,NHMS02 (MS_VJP),VOL_10%,,,
,,,27830,28745,26795 ,1.0%,IN,6146 JP Equity,2023-10-20,DISCO CORP,Semiconductor Mfg,Semiconductors,"1,047,178 ",26535.00 ,1 ,"2,637 ","617,300 ",0.6 ,-0.29 ,1.60 ,-0.73 ,2.7 ,"28,130.00 ","27,645.00 ",800 ,"191,733,419 ",JPY,SELL,9.0 ,27830,27830,28745,"28,075.00 ",-5.5%,IN,VOL_10%,NHMS02 (MS_VJP),VOL_10%,,,
,,1 ,3353,3472,3353 ,-2.7%,IN,9531 JP Equity,2023-10-27,TOKYO GAS CO LTD,Gas Distribution,Gas & Water Utilities,"1,611,832 ",3446.00 ,-1 ,502 ,"464,700 ",0.3 ,-0.75 ,1.68 ,-1.29 ,1.6 ,"3,476.00 ","3,409.00 ","7,000 ","217,872,316 ",JPY,SELL,9.0 ,3353,3472,3353,"3,312.00 ",4.0%,IN,VOL_10%,NHMS02 (MS_VJP),VOL_10%,,,
,,,8707,8850,8410 ,-1.2%,IN,4062 JP Equity,2023-10-27,IBIDEN CO LTD,PCBs,Technology Hardware,"1,433,794 ",8512.00 ,-1 ,"1,143 ","323,200 ",0.2 ,-0.26 ,3.26 ,-0.73 ,3.1 ,"8,870.00 ","8,769.00 ","2,500 ","192,203,088 ",JPY,SELL,9.0 ,8707,8850,8707,"8,913.00 ",-4.5%,IN,VOL_10%,NHMS02 (MS_VJP),VOL_10%,,,
,,1 ,9971,10225,9971 ,-1.4%,IN,6902 JP Equity,2023-10-27,DENSO CORP,Auto Parts,Automotive,"1,500,661 ",10110.00 ,-1 ,"1,370 ","545,900 ",0.4 ,-1.12 ,4.61 ,-1.41 ,1.5 ,"10,225.00 ","10,000.00 ","2,500 ","228,286,328 ",JPY,SELL,9.0 ,9971,10225,9971,"9,747.00 ",3.7%,IN,VOL_10%,NHMS02 (MS_VJP),VOL_10%,,,
,,1 ,5036,5384,5036 ,-4.3%,IN,6098 JP Equity,2023-11-14,RECRUIT HOLDINGS CO LTD,Employment Agencies,Commercial Support Services,"4,846,746 ",5261.00 ,1 ,"2,303 ","1,622,100 ",0.3 ,-1.18 ,4.28 ,-1.18 ,1.8 ,"5,384.00 ","5,300.00 ","5,000 ","237,589,391 ",JPY,SELL,9.0 ,5036,5384,5036,"4,967.00 ",5.9%,IN,VOL_10%,NHMS02 (MS_VJP),VOL_10%,,,
